city,lat,lng,country,iso2,admin_name,capital,population,population_proper,district
Boragasyaya,6.695,81.2031,Sri Lanka,LK,Uva,,,,Moneragala
Boragoda,7.1091,81.2359,Sri Lanka,LK,Uva,,,,Moneragala
Borakanda,6.263,80.1007,Sri Lanka,LK,Southern,,,,Galle
Borala,5.98333,80.41667,Sri Lanka,LK,Southern,,,,Matara
Borala,6.6054,80.5676,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Boralanda,6.85,81.03333,Sri Lanka,LK,Uva,,,,Badulla
Boralanda,6.827,80.894,Sri Lanka,LK,Uva,,,,Badulla
Boralankada,6.9721,80.3285,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Boralessa East,7.3172,79.8651,Sri Lanka,LK,North Western,,,,Puttalam
Boralugodella,8.311,80.7798,Sri Lanka,LK,North Central,,,,Anuradhapura
Boralukada,6.1531,80.1838,Sri Lanka,LK,Southern,,,,Galle
Boraluketiya,6.0213,80.3369,Sri Lanka,LK,Southern,,,,Galle
Boraluketiya,6.3508,80.0609,Sri Lanka,LK,Southern,,,,Galle
Boraluwa,7.6664,80.4354,Sri Lanka,LK,North Western,,,,Kurunegala
Boraluwageayina,6.368,80.6551,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Boraluwetota,6.2075,80.1009,Sri Lanka,LK,Southern,,,,Galle
Boraluwewa,7.68333,80.05,Sri Lanka,LK,North Western,,,,Kurunegala
Boranjamuwa,6.7303,80.7071,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Borawewa,8.26667,80.66667,Sri Lanka,LK,North Central,,,,Anuradhapura
Borawewa,7.9236,80.3999,Sri Lanka,LK,North Western,,,,Kurunegala
Borawewa,7.9,80.2,Sri Lanka,LK,North Western,,,,Kurunegala
Borawewagurunnehelegama,7.93333,80.4,Sri Lanka,LK,North Western,,,,Kurunegala
Boruwagama,7.063,80.6307,Sri Lanka,LK,Central,,,,Nuwara Eliya
Boskhombawatta,6.6412,80.7137,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bossella,7.1471,80.3992,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Botalawa,6.4384,80.2186,Sri Lanka,LK,Western,,,,Kalutara
Botalegama,7.3645,79.8768,Sri Lanka,LK,North Western,,,,Puttalam
Botalegama,8.2374,80.1997,Sri Lanka,LK,North Central,,,,Anuradhapura
Bothalakumbura,7.0092,81.2507,Sri Lanka,LK,Uva,,,,Moneragala
Bothale,6.6971,80.1671,Sri Lanka,LK,Western,,,,Kalutara
Botota,7.36667,80.58333,Sri Lanka,LK,Central,,,,Kandy
Bowagoda,6.1731,80.0886,Sri Lanka,LK,Southern,,,,Galle
Bowala,7.2708,80.6169,Sri Lanka,LK,Central,,,,Kandy
Bowala,7.26667,80.18333,Sri Lanka,LK,North Western,,,,Kurunegala
Bowala,7.1516,80.7414,Sri Lanka,LK,Central,,,,Nuwara Eliya
Bowala,6.1989,80.699,Sri Lanka,LK,Southern,,,,Hambantota
Bowalgaha,7.16667,80.46667,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Bowatenna,7.6604,80.6884,Sri Lanka,LK,Central,,,,Matale
Bowatta,7.4184,80.624,Sri Lanka,LK,Central,,,,Matale
Bowatta,7.3685,80.0325,Sri Lanka,LK,North Western,,,,Kurunegala
Bowatta,6.6153,80.7702,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Bowattegedara,7.4962,80.4724,Sri Lanka,LK,North Western,,,,Kurunegala
Bowatura,7.147,80.5595,Sri Lanka,LK,Central,,,,Kandy
Bowawatta,7.5963,79.961,Sri Lanka,LK,North Western,,,,Kurunegala
Bowela,7.0567,81.545,Sri Lanka,LK,Uva,,,,Moneragala
Bowela,6.95,80.93333,Sri Lanka,LK,Uva,,,,Badulla
Bowhillwatta,7.0157,80.5714,Sri Lanka,LK,Central,,,,Kandy
Boyagama,7.7,80.26667,Sri Lanka,LK,North Western,,,,Kurunegala
Boyagama,7.26667,80.56667,Sri Lanka,LK,Central,,,,Kandy
Boyagama,7.2145,80.3097,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Boyagoda,7.4008,80.5083,Sri Lanka,LK,North Western,,,,Kurunegala
Boyagoda,7.1827,80.2713,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Boyawalana,7.3393,80.1785,Sri Lanka,LK,North Western,,,,Kurunegala
Brahanegama,8.16667,80.25,Sri Lanka,LK,North Central,,,,Anuradhapura
Brahmana Arawa,7.1024,80.9625,Sri Lanka,LK,Uva,,,,Badulla
Brahmanadaluwa,7.5623,79.8278,Sri Lanka,LK,North Western,,,,Puttalam
Brahmanagama,7.76667,80.25,Sri Lanka,LK,North Western,,,,Kurunegala
Brahmanayagama,7.86667,80.3,Sri Lanka,LK,North Western,,,,Kurunegala
Brahmanayagama,7.6117,79.9601,Sri Lanka,LK,North Western,,,,Kurunegala
Brahmanayagama,6.181,80.7455,Sri Lanka,LK,Southern,,,,Hambantota
Bramly Watta,7.0535,80.8569,Sri Lanka,LK,Central,,,,Nuwara Eliya
Broadlands,6.9781,80.4485,Sri Lanka,LK,Central,,,,Nuwara Eliya
Brooklandswatta,7.0575,80.5165,Sri Lanka,LK,Central,,,,Kandy
Brooksidegama,7.024,80.8509,Sri Lanka,LK,Central,,,,Nuwara Eliya
Brynthuraichenai,7.91667,81.53333,Sri Lanka,LK,Eastern,,,,Batticaloa
Bubula,7.23333,81.06667,Sri Lanka,LK,Uva,,,,Badulla
Bubula,7.1867,81.0252,Sri Lanka,LK,Uva,,,,Badulla
Budanapitiya,7.5421,80.3849,Sri Lanka,LK,North Western,,,,Kurunegala
